Issue Key,Rule Score,ML Score,Hybrid Score,Tier,Explanation,Summary,Acceptance criteria,Description
AML-012,100,99.39,99.75,GOOD,Ticket meets quality standards,Build data enrichment logic to add customer risk score,Given transaction data and customer master When I enrich each transaction with customer risk_score (1-100) Then high-risk customers (score greater than 80) must be flagged for enhanced scrutiny,As a data engineer I want to join transaction data with customer master to add risk score so that AML scenarios can prioritize high-risk customers
AML-019,100,99.45,99.78,GOOD,Ticket meets quality standards,Implement AML Scenario 2 - Rapid Movement Detection,Given multiple transactions for same customer within 24 hours When sum of small deposits (under $3000) and rapid withdrawals exceed $15000 Then generate Structuring Alert,As a compliance officer I want to detect rapid movement of funds between accounts so that layering attempts are identified
AML-020,100,99.11,99.65,GOOD,Ticket meets quality standards,Implement AML Scenario 3 - High Risk Country Transfer,Given transaction to country in restricted list (Iran North Korea Syria Crimea) When detected Then generate OFAC Alert with high priority and automatically hold transaction for review,As a compliance officer I want to flag transfers to or from OFAC-sanctioned countries so that regulatory violations are prevented
AML-021,75,31.01,57.4,BAD,Semantic hollowness: Vague statement detected | AC not in Gherkin format | Due date is missing or invalid | Missing Assignee,Implement AML Scenario 4 - Unusual Velocity Detection,fix this later,As a fraud analyst I want to detect accounts with abnormal transaction velocity
AML-023,100,94.18,97.67,GOOD,Ticket meets quality standards,Implement alert deduplication logic,Given multiple scenarios flag same transaction When deduplication runs Then only highest priority alert should be generated others suppressed with reference,As a compliance officer I want to avoid duplicate alerts for the same transaction so that operational team isn't overwhelmed
AML-024,100,97.75,99.1,GOOD,Ticket meets quality standards,Build NORKOM UI integration for alert display,Given alerts are stored in Oracle When operations team logs into NORKOM UI Then they must see alert list with filters (date scenario priority) ability to mark as Investigated False Positive or Reported,As a UI developer I want to display alerts in NORKOM dashboard so that operations team can review and investigate
AML-025,85,97.8,90.12,GOOD,Ticket meets quality standards,Create alert detail view with transaction history,need to show customer profile and transaction history on alert detail page,As an investigator I want to see customer's full transaction history when reviewing an alert
AML-031,100,99.52,99.81,GOOD,Ticket meets quality standards,Set up development vs production environments,Given infrastructure is provisioned When I configure environments Then dev must use sample data (100K records) and prod must use real data (100M+ records) with separate Oracle schemas and Unix folders,As a DevOps engineer I want separate dev and prod environments so that testing doesn't impact production
AML-034,75,20.76,53.3,BAD,Semantic hollowness: Vague statement detected | AC not in Gherkin format | Due date is missing or invalid | Missing Assignee,Write unit tests for ETL Python code,We need tests. Please implement.,As a developer I want 80% code coverage for ETL scripts
AML-038,100,98.88,99.55,GOOD,Ticket meets quality standards,Implement data archival strategy,Given transaction data exceeds retention period When monthly archive job runs Then data older than 2555 days must move to ARCHIVE schema compressed and removed from production tables,As a DBA I want to archive data older than 7 years so that active tables remain performant
AML-046,85,97.89,90.16,GOOD,Ticket meets quality standards,Create weekly MIS report for management,we need a weekly report with alert volumes and investigation aging please implement,As a compliance manager I want weekly metrics report
AML-051,85,98.47,90.39,GOOD,Ticket meets quality standards,Set up automated backup for Oracle database,Backup should happen daily. RPO target 1 hour. Keep backups for 30 days.,As a DBA I want daily automated backups
AML-052,100,99.11,99.64,GOOD,Ticket meets quality standards,Implement data lineage tracking,Given any alert When I query lineage Then system must show source filename ETL version transformation rules applied segmentation logic scenario parameters used timestamp of each step,As a data governance officer I want to trace data from source to alert so that audit trails are complete
AML-057,100,98.88,99.55,GOOD,Ticket meets quality standards,Optimize Oracle indexes for query performance,Given slow queries identified When indexes are analyzed Then must add composite indexes on (customer_id transaction_date) and (alert_status priority created_date) monitor improvement quarterly,As a DBA I want to analyze and optimize indexes so that dashboard queries run faster
AML-062,50,90.31,66.12,BAD,Missing User Story format | Due date is missing or invalid | Missing Priority | Missing Category | Missing Assignee | Missing Sub-area,API Integration,Given context when fixed API then pass check,I want to Fix GET API so that data issue fixed
AML-067,75,90.24,81.1,GOOD,Ticket meets quality standards,Create onboarding documentation for new developers,We need documentation for new team members. Please create setup guide and architecture overview.,As a team lead I want comprehensive onboarding docs
AML-070,100,96.02,98.41,GOOD,Ticket meets quality standards,Implement detailed logging of all scenario executions,Given scenario executes When run completes Then log must capture scenario_id start_time end_time records_processed alerts_generated execution_server run_by (system or user) any errors,As an auditor I want logs of every scenario run so that execution is traceable
AML-075,75,5.21,47.08,BAD,Semantic hollowness: Vague statement detected | AC not in Gherkin format | Due date is missing or invalid | Missing Assignee,Create post-deployment verification checklist,"need a checklist of things to verify after each deployment including data counts and alert generation,TBD",As a DevOps engineer I want verification checklist
AML-077,100,99.2,99.68,GOOD,Ticket meets quality standards,Build automation for certificate rotation,Given certificates expire every 90 days When renewal job runs Then must check expiry daily generate new certs 30 days before expiry distribute to reliant systems restart services if needed notify team on success or failure,As a security engineer I want automated certificate renewal so that integrations don't break due to expired certs
AML-082,100,99.56,99.82,GOOD,Ticket meets quality standards,Implement encryption at rest for sensitive data,Given Oracle tables contain PII When data is written Then it must be encrypted using TDE (Transparent Data Encryption) with key managed by AWS KMS rotated quarterly,As a security architect I want all PII data encrypted at rest so that data breach impact is minimized
AML-083,100,99.08,99.63,GOOD,Ticket meets quality standards,Create incident response playbook,Given security incident types (data breach ransomware unauthorized access) When playbook is followed Then each incident type must have detection method containment steps eradication procedure recovery steps regulatory notification requirements,As a security manager I want documented incident response procedures so that team knows how to handle security events
AML-084,90,98.98,93.59,GOOD,Ticket meets quality standards,Implement VPN access for developers,All developers must connect via VPN to access dev staging and prod environments. No direct internet access to any environment.,As a network engineer I want all development access through VPN so that production environment is protected
AML-089,85,94.64,88.85,GOOD,Ticket meets quality standards,Create monthly regulatory filing report,Need report that summarizes all SAR filings for month including counts by type customers amounts and filing status,As a compliance officer I want monthly SAR filing summary
AML-095,75,43.98,62.59,BAD,Semantic hollowness: Vague statement detected | AC not in Gherkin format | Due date is missing or invalid | Missing Assignee,Create developer productivity metrics dashboard,Need dashboard showing PR cycle time deployment frequency bug rate per developer code coverage trends,As a team lead I want to track developer productivity
AML-103,100,99.67,99.87,GOOD,Ticket meets quality standards,Secure funding approval for AML project,Given project budget estimate $2.5M When presented to funding committee Then must get approval for hardware costs software licenses (NORKOM) staffing (8 FTEs) contingency (15 percent),As a program manager I want funding committee approval so that project resources are allocated
AML-112,100,95.08,98.03,GOOD,Ticket meets quality standards,Create technical specification document for ETL layer,Given requirements finalized When I write spec Then document must include source-to-target mapping transformation rules error handling strategy performance requirements testing approach,As a technical architect I want detailed ETL spec so that developers have clear implementation guide
AML-131,90,99.54,93.82,GOOD,Ticket meets quality standards,Define release management process,need release calendar environment promotion criteria rollback plan and change approval for production deployments,As a release manager I want formal release process so that deployments are controlled
AML-133,100,98.22,99.29,GOOD,Ticket meets quality standards,Create capacity planning document,Given transaction volume 100M per year growth 20 percent When capacity plan complete Then must specify server specs storage requirements network bandwidth database sizing for 5 years,As a capacity planner I want capacity analysis so that infrastructure scales appropriately
AML-135,90,98.26,93.3,GOOD,Ticket meets quality standards,Conduct vendor technical review of NORKOM,review NORKOM API documentation security model deployment options performance benchmarks and support SLAs with vendor engineers,As a technical lead I want deep technical review of NORKOM so that integration risks are identified
AML-136,100,99.37,99.75,GOOD,Ticket meets quality standards,Create data migration plan from legacy system,Given 5 years of historical data When migration plan defined Then must include extraction strategy transformation mapping load order validation approach rollback plan timeline 30 days,As a data engineer I want migration plan so that historical data is moved correctly
