,Issue key,Rule_Score,ML_Score,Hybrid_Score,Tier,Explanation,Summary,Description
0,AML-001,100,98.46149338095671,99.53844801428701,GOOD,Ticket meets all quality standards.,Set up Unix server for data ingestion,As a data engineer I want to provision a Unix server so that incoming mainframe files can be stored and processed
1,AML-002,100,99.22842643538606,99.76852793061582,GOOD,Ticket meets all quality standards.,Configure user permissions and roles on Unix,As a security admin I want to set up role-based access control on the Unix server so that only authorized personnel can access sensitive data
2,AML-003,100,99.49020206797924,99.84706062039376,GOOD,Ticket meets all quality standards.,Create folder structure for data landing,As a data engineer I want to establish standardized folder hierarchy so that incoming files are organized by date and source
3,AML-004,100,98.45959928631012,99.53787978589304,GOOD,Ticket meets all quality standards.,Implement data validation for incoming mainframe files,As a data processor I want to validate file format and record count so that corrupt files are rejected before processing
4,AML-005,80,0.35869055533559413,56.10760716660068,BAD,Semantic hollowness: Vague language detected. | AC not in Gherkin format | Missing Assignee,Build ETL code for data transformation,As a developer I want ETL pipeline
5,AML-006,100,98.46083870893622,99.53825161268087,GOOD,Ticket meets all quality standards.,Develop Python ETL script to parse mainframe files,As a data engineer I want to write Python code that parses fixed-width mainframe files into delimited format so that downstream systems can read them
6,AML-007,100,98.46132189113675,99.53839656734102,GOOD,Ticket meets all quality standards.,Create error handling for missing or malformed records,As a data engineer I want to implement robust error handling so that processing continues even when individual records are corrupt
7,AML-008,100,99.57080867272218,99.87124260181665,GOOD,Ticket meets all quality standards.,Schedule ETL jobs using Control-M,As an operations analyst I want to configure Control-M jobs so that ETL runs automatically after files land on server
8,AML-009,100,99.25749409331253,99.77724822799377,GOOD,Ticket meets all quality standards.,Load transformed data into Oracle staging tables,As a database developer I want to load processed data into Oracle staging tables so that downstream transformations can access it
9,AML-010,80,0.35816255372056843,56.10744876611617,BAD,Semantic hollowness: Vague language detected. | AC not in Gherkin format | Missing Assignee,Implement incremental load logic,As a developer I want to load only new records
10,AML-011,100,98.4597476378424,99.53792429135271,GOOD,Ticket meets all quality standards.,Design Oracle table partitions by transaction date,As a DBA I want to implement table partitioning so that query performance improves for large datasets
11,AML-012,100,99.38557262974648,99.81567178892394,GOOD,Ticket meets all quality standards.,Build data enrichment logic to add customer risk score,As a data engineer I want to join transaction data with customer master to add risk score so that AML scenarios can prioritize high-risk customers
12,AML-013,100,98.85074324552578,99.65522297365773,GOOD,Ticket meets all quality standards.,Create transformed table for enriched transaction data,As a database developer I want to create T_CUSTOMER_TRX_ENRICHED table so that enriched data is stored separately from staging
13,AML-014,100,99.26185864922947,99.77855759476884,GOOD,Ticket meets all quality standards.,Implement customer segmentation logic,As a business analyst I want to segment customers based on transaction volume and risk profile so that AML monitoring is risk-based
14,AML-015,75,95.44216913323844,81.13265073997152,GOOD,Ticket meets all quality standards.,Build segmentation table SEG_CUSTOMER_CLASSIFICATION,As a developer I want to store customer segments in a dedicated table
15,AML-016,100,99.32335233395405,99.79700570018622,GOOD,Ticket meets all quality standards.,Load customer segments into Oracle,As a data engineer I want to load segmentation output into Oracle so that it's available for scenario execution
16,AML-017,100,98.45938224210653,99.53781467263195,GOOD,Ticket meets all quality standards.,Integrate NORKOM AML scenario engine,As a systems integrator I want to connect NORKOM engine to our processed data so that AML scenarios can execute
17,AML-018,100,99.99906634885119,99.99971990465535,GOOD,Ticket meets all quality standards.,Implement AML Scenario 1 - Large Transaction Detection,As a compliance officer I want to detect single transactions above threshold so that potential money laundering is flagged
18,AML-019,100,99.4453352771793,99.83360058315378,GOOD,Ticket meets all quality standards.,Implement AML Scenario 2 - Rapid Movement Detection,As a compliance officer I want to detect rapid movement of funds between accounts so that layering attempts are identified
19,AML-020,100,99.11285397656061,99.73385619296818,GOOD,Ticket meets all quality standards.,Implement AML Scenario 3 - High Risk Country Transfer,As a compliance officer I want to flag transfers to or from OFAC-sanctioned countries so that regulatory violations are prevented
20,AML-021,75,31.007177539595848,61.80215326187876,GOOD,Ticket meets all quality standards.,Implement AML Scenario 4 - Unusual Velocity Detection,As a fraud analyst I want to detect accounts with abnormal transaction velocity
21,AML-022,100,98.90793615402083,99.67238084620625,GOOD,Ticket meets all quality standards.,Store AML alerts in Oracle alert table,As a database developer I want to persist all generated alerts so that they can be queried for reporting
22,AML-023,100,94.17598879912367,98.2527966397371,GOOD,Ticket meets all quality standards.,Implement alert deduplication logic,As a compliance officer I want to avoid duplicate alerts for the same transaction so that operational team isn't overwhelmed
23,AML-024,100,97.75258277435812,99.32577483230743,GOOD,Ticket meets all quality standards.,Build NORKOM UI integration for alert display,As a UI developer I want to display alerts in NORKOM dashboard so that operations team can review and investigate
24,AML-025,80,97.80488056202313,85.34146416860693,GOOD,Ticket meets all quality standards.,Create alert detail view with transaction history,As an investigator I want to see customer's full transaction history when reviewing an alert
25,AML-026,100,98.46184534702664,99.53855360410799,GOOD,Ticket meets all quality standards.,Implement daily alert summary email,As a compliance manager I want to receive daily digest of new alerts so that I can track operational metrics
26,AML-027,100,98.45819548446191,99.53745864533857,GOOD,Ticket meets all quality standards.,Set up monitoring for data ingestion failures,As an operations lead I want to be alerted when file ingestion fails so that I can investigate quickly
27,AML-028,100,98.4592856096734,99.53778568290201,GOOD,Ticket meets all quality standards.,Implement record count reconciliation,As a data quality analyst I want to reconcile record counts across processing stages so that data loss is detected
28,AML-029,100,98.95213208255281,99.68563962476584,GOOD,Ticket meets all quality standards.,Create data quality dashboard,As a data governance officer I want to visualize data quality metrics so that I can identify systemic issues
29,AML-030,80,36.84861872927628,67.05458561878288,GOOD,Ticket meets all quality standards.,Document NORKOM API integration specification,need to document how NORKOM integration works
30,AML-031,100,99.52065637983162,99.85619691394949,GOOD,Ticket meets all quality standards.,Set up development vs production environments,As a DevOps engineer I want separate dev and prod environments so that testing doesn't impact production
31,AML-032,100,98.46370132705388,99.53911039811616,GOOD,Ticket meets all quality standards.,Implement audit logging for all data access,As a compliance officer I want to log all access to sensitive data so that audit trail exists for regulators
32,AML-033,100,99.99863603931806,99.99959081179541,GOOD,Ticket meets all quality standards.,Create masking policy for non-production environments,As a security architect I want to mask PII data in non-production so that development doesn't expose real customer data
33,AML-034,75,20.75634365473647,58.72690309642094,BAD,Semantic hollowness: Vague language detected. | AC not in Gherkin format | Due date is missing or invalid | Missing Assignee,Write unit tests for ETL Python code,As a developer I want 80% code coverage for ETL scripts
34,AML-035,100,98.46122144658133,99.5383664339744,GOOD,Ticket meets all quality standards.,Implement end-to-end integration test,As a QA engineer I want to run full integration test with sample data so that all components work together
35,AML-036,100,99.6567732076453,99.8970319622936,GOOD,Ticket meets all quality standards.,Build performance test suite for 1 year data,As a performance engineer I want to test system with 1 year of historical data so that we can validate SLAs
36,AML-037,100,98.46298055211571,99.53889416563472,GOOD,Ticket meets all quality standards.,Create disaster recovery runbook,As an operations manager I want documented DR procedures so that recovery time is minimized during outage
37,AML-038,100,98.88219734731521,99.66465920419456,GOOD,Ticket meets all quality standards.,Implement data archival strategy,As a DBA I want to archive data older than 7 years so that active tables remain performant
38,AML-039,100,98.46383037918316,99.53914911375495,GOOD,Ticket meets all quality standards.,Set up Control-M job dependency chain,As a batch operator I want Control-M jobs to have proper dependencies so that processing sequence is enforced
